V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	class
1787	2362	768	1743	1115	455	962	231	2476	3118	1199	900	443	4060	7605	1881	17804	1084	781	5831	1677	7595	1920	4675	13893	2804	1604	447	882	1233	707	12199	5060	5146	339	653	7516	2432	959	1409	2572	430	39552	2785	1726	16303	7909	10403	1191	22204	B
1602	2342	1100	5981	1977	1431	1024	689	4311	5583	2538	1976	765	12022	10398	8613	16402	897	1661	7294	2465	19009	4301	3514	15811	3568	2943	1215	600	2978	997	17069	6328	4282	1077	1410	8351	2091	2254	654	6110	12722	21307	2362	9198	10672	14682	4516	2741	9988	B
1091	953	411	2425	1128	1775	853	362	2840	3388	1868	1601	557	6613	7611	4907	20345	759	806	5467	1538	10928	2432	2736	15225	2880	2718	694	974	3707	843	15833	3663	2612	690	976	17076	2106	932	1354	2242	3468	32782	1411	8571	12816	3233	10294	569	14157	B
1454	1087	854	3323	1705	951	1894	571	2010	4499	1428	1528	354	9410	6395	7767	16131	842	485	3196	1437	16565	1722	2349	10185	2184	2019	794	430	4559	880	17794	2996	3218	511	604	9977	2316	891	1099	3074	5968	31617	2099	8671	15087	5779	8650	2088	19293	B
2355	608	747	2617	1734	979	1506	436	1650	3000	1553	988	111	5971	6679	4394	15098	538	453	5303	1555	15845	2406	2096	12491	2251	1616	478	305	2404	830	12028	3156	2215	535	955	4920	924	800	755	5373	3865	16504	1242	3059	6654	7408	4272	1702	9890	B
7691	10296	1308	10954	2474	2216	1293	962	2886	6798	2741	1932	1775	12714	7162	12826	18112	987	1239	10249	2956	21059	6125	5401	19697	4837	4090	1183	799	4411	2015	18931	5941	6862	1031	1498	6021	2364	1007	772	1920	989	29288	2558	9601	13686	5318	4090	650	7657	T
6288	14096	1561	16523	4608	3245	2950	1811	8396	8822	4259	3527	1026	17961	21270	11758	22998	2048	2863	9795	4462	24284	8613	5736	20413	5780	3894	2183	997	5131	2292	21489	8791	5526	1428	2354	1854	771	742	208	3117	1479	14830	1286	2917	6557	2583	3191	573	1031	T
4303	9598	937	16135	3255	2021	1746	1040	5921	4890	3279	2407	769	10909	21046	10009	30481	862	1202	8850	2429	33638	3965	2791	18192	4914	2589	1228	636	6022	1390	22097	6141	3819	1248	1324	1458	762	396	357	1790	1715	8097	686	2263	3632	2647	1897	405	1749	T
9223	12997	1236	15230	4807	5311	3169	3551	10991	8537	5364	4666	1301	15427	21667	13403	18311	1954	3793	11440	4300	22300	9144	6216	19818	9459	4989	2283	875	11505	1920	16789	12083	8149	1509	2682	4562	2029	1425	582	3302	3656	16287	1239	5917	7638	5521	2550	1204	1432	T
5266	4089	1680	8986	2386	3924	1321	844	9243	7794	3169	2776	796	13268	22157	9927	23497	954	2788	7304	2105	20367	5825	3527	21770	6769	3140	1609	584	7747	1248	19507	5855	3074	1128	2055	4171	1147	792	246	1330	1427	10078	855	3389	6042	3094	1984	325	2274	T
6051	9121	2149	8629	3763	4614	1842	1953	5546	7803	4217	3488	1691	13033	19739	7458	21744	1223	2400	10013	2839	18571	7146	4918	18172	5639	3763	1683	1155	7021	1084	15281	7935	6096	1320	1006	2545	1697	818	236	2524	2735	9072	787	2128	6011	4194	3680	264	461	T
5388	2393	1197	3529	2555	2889	2107	989	3570	5654	2226	2281	782	13239	7624	13606	18540	924	1765	7739	2220	20761	7458	3245	16533	3947	3570	1216	601	6059	949	18813	5630	3989	976	1331	2624	1091	561	486	3382	1720	28519	1075	3531	11387	3076	851	999	3274	T
3435	9083	1288	12900	2212	2650	1982	803	5378	4765	4272	2314	599	10787	18322	8136	25412	1092	1104	6930	1858	19696	4427	3010	19392	4189	2807	1135	734	5881	1169	16035	7007	3820	867	937	1043	162	451	199	1613	784	4113	891	1891	2145	4348	2559	583	867	T
